year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
2021,010204000779,10204000779,-1,99,99,18.0,1,0102040
2021,010204000781,10204000781,-1,99,99,1.0,1,0102040
2021,010204000785,10204000785,-1,99,99,69.0,1,0102040
2021,010204000787,10204000787,-1,99,99,15.0,1,0102040
2021,010204000788,10204000788,-1,99,99,12.0,1,0102040
2021,010204001410,10204001410,-1,99,99,43.0,1,0102040
2021,010204002211,10204002211,-1,99,99,0.0,1,0102040
2021,010207000284,10207000284,-1,99,99,61.0,1,0102070
2021,010207000285,10207000285,-1,99,99,38.0,1,0102070
2021,010207000290,10207000290,-1,99,99,19.0,1,0102070
2021,010207000296,10207000296,-1,99,99,27.0,1,0102070
2021,010207000486,10207000486,-1,99,99,42.0,1,0102070
2021,010207000794,10207000794,-1,99,99,31.0,1,0102070
2021,010207000795,10207000795,-1,99,99,17.0,1,0102070
2021,010207002188,10207002188,-1,99,99,21.0,1,0102070
2021,010210000802,10210000802,-1,99,99,21.0,1,0102100
2021,010210000805,10210000805,-1,99,99,28.0,1,0102100
2021,010210000806,10210000806,-1,99,99,22.0,1,0102100
2021,010210002081,10210002081,-1,99,99,41.0,1,0102100
2021,010210002164,10210002164,-1,99,99,25.0,1,0102100
2021,010210002422,10210002422,-1,99,99,25.0,1,0102100
2021,010210002423,10210002423,-1,99,99,100.0,1,0102100
2021,010210002431,10210002431,-1,99,99,24.0,1,0102100
2021,010213000812,10213000812,-1,99,99,12.0,1,0102130
2021,010216000816,10216000816,-1,99,99,4.0,1,0102160
2021,010216000821,10216000821,-1,99,99,2.0,1,0102160
2021,010216001635,10216001635,-1,99,99,4.0,1,0102160
2021,010219000824,10219000824,-1,99,99,20.0,1,0102190
2021,010219000829,10219000829,-1,99,99,6.0,1,0102190
2021,010219001863,10219001863,-1,99,99,28.0,1,0102190
2021,010222000030,10222000030,-1,99,99,87.0,1,0102220
2021,010222000566,10222000566,-1,99,99,57.0,1,0102220
2021,010222000835,10222000835,-1,99,99,64.0,1,0102220
2021,010222000837,10222000837,-1,99,99,27.0,1,0102220
2021,010222000838,10222000838,-1,99,99,96.0,1,0102220
2021,010222000842,10222000842,-1,99,99,24.0,1,0102220
2021,010222000844,10222000844,-1,99,99,47.0,1,0102220
2021,010222000846,10222000846,-1,99,99,33.0,1,0102220
2021,010222000850,10222000850,-1,99,99,19.0,1,0102220
2021,010222001433,10222001433,-1,99,99,42.0,1,0102220
2021,010222001513,10222001513,-1,99,99,70.0,1,0102220
2021,010222001684,10222001684,-1,99,99,24.0,1,0102220
2021,010222001731,10222001731,-1,99,99,38.0,1,0102220
2021,010222001820,10222001820,-1,99,99,52.0,1,0102220
2021,010222002082,10222002082,-1,99,99,26.0,1,0102220
2021,010225000852,10225000852,-1,99,99,0.0,1,0102250
2021,010225000856,10225000856,-1,99,99,17.0,1,0102250
2021,010225000857,10225000857,-1,99,99,34.0,1,0102250
2021,010231000861,10231000861,-1,99,99,0.0,1,0102310
2021,010231000865,10231000865,-1,99,99,15.0,1,0102310
2021,010231001455,10231001455,-1,99,99,16.0,1,0102310
2021,010231001552,10231001552,-1,99,99,18.0,1,0102310
2021,010231002160,10231002160,-1,99,99,17.0,1,0102310
2021,010235000890,10235000890,-1,99,99,0.0,1,0102350
2021,010237000572,10237000572,-1,99,99,32.0,1,0102370
2021,010237000896,10237000896,-1,99,99,13.0,1,0102370
2021,010237000904,10237000904,-1,99,99,20.0,1,0102370
2021,010237000907,10237000907,-1,99,99,36.0,1,0102370
2021,010237000910,10237000910,-1,99,99,24.0,1,0102370
2021,010237000911,10237000911,-1,99,99,3.0,1,0102370
2021,010237000913,10237000913,-1,99,99,72.0,1,0102370
2021,010237000914,10237000914,-1,99,99,40.0,1,0102370
2021,010237000915,10237000915,-1,99,99,58.0,1,0102370
2021,010237000919,10237000919,-1,99,99,53.0,1,0102370
2021,010237000920,10237000920,-1,99,99,53.0,1,0102370
2021,010237000922,10237000922,-1,99,99,10.0,1,0102370
2021,010237000924,10237000924,-1,99,99,25.0,1,0102370
2021,010237000927,10237000927,-1,99,99,25.0,1,0102370
2021,010237000928,10237000928,-1,99,99,33.0,1,0102370
2021,010237000930,10237000930,-1,99,99,41.0,1,0102370
